SNAME,SCOMNAME,AUTHOR_NAME_FULL,HP_LIST,added to project,iNaturalist name if different,Biotics updated,notes/issues,References
Plagiobothrys austiniae,Austin's plagiobothrys,(Greene) I.M. Johnston,2,y,,,,
Plagiobothrys figuratus ssp. corallicarpus,Coral seeded allocarya,(Piper) I.M. Johnston ex M.E. Peck,1,y,,,,
Plagiobothrys glyptocarpus,Sculptured allocarya,(Piper) I.M. Johnston,4,y,,,,
Plagiobothrys greenei,Greene's popcorn flower,(Gray) I.M. Johnston,2,y,,,,
Plagiobothrys hirtus,Rough popcorn flower,(Greene) I.M. Johnston,1,y,,,,
Plagiobothrys lamprocarpus,Shiny-fruited popcorn flower,(Piper) I.M. Johnston,1-X,y,,,,
Plagiobothrys reticulatus,Netted plagiobothrys,(Piper) I.M. Johnston,3,y,,,,
Plagiobothrys salsus,Desert allocarya,(Brandeg.) I.M. Johnston,2,y,,,,
Plagiobothrys stipitatus var. micranthus,Stalked plagiobothrys,(Greene) I.M. Johnston,3,y,,,,
Plantago eriopoda,Hairy-foot plantain,Torr.,3,y,,,,
Plantago macrocarpa,North pacific plantain,Cham. & Schlecht.,2,y,,,,
Platanthera aquilonis,Northern green bog orchid,Sheviak,3,y,,,,
Platanthera obtusata,Small northern bog-orchid,(Banks ex Pursh) Lindl.,2,y,,,,
Plectritis ciliosa ssp. insignis,Longspur seablush,(Greene) Jepson,3,y,,,,
Pleuropogon oregonus,Oregon semaphore grass,Chase,1,y,,,,
Poa bolanderi,Bolander's bluegrass,Vasey,4,y,,,,
Poa chambersii,Chambers' bluegrass,Soreng,4,y,,,,
Poa fendleriana ssp. longiligula,Long tongue muttongrass,(Steud.) Vasey,2,y,,,,
Poa glauca ssp. glauca,Timberline bluegrass,Vahl,3,y,,,,
Poa laxiflora,Loose-flowered bluegrass,Buckl.,4,y,,,,
Poa lettermanii,Letterman's bluegrass,Vasey,2,y,,,,
Poa mansfieldii,Mansfield's bluegrass,Otting & B.L. Wilson,3,y,,,,
Poa marcida,Weak bluegrass,A.S. Hitchc.,4,y,,,,
Poa piperi,Piper's bluegrass,A.S. Hitchc.,4,y,,,,
Poa pratensis ssp. alpigena,Alpine Kentucky bluegrass,L.,3,y,Poa alpigena,n,"Leave as-is, ORBIC name matches ORFlora.",Poa alpigena Lindm. | Plants of the World Online | Kew Science
Poa reflexa,Nodding bluegrass,Vasey & Scribn. ex Vasey,2,y,,,,
Poa rhizomata,Timber bluegrass,A.S. Hitchc.,2,y,,,,
Poa suksdorfii,Suksdorf's bluegrass,(Beal) Vasey ex Piper,4,y,,,,
Poa unilateralis ssp. pachypholis,Ocean bluff grass,Scribn.,1,y,,,,
Poa unilateralis ssp. unilateralis,San Francisco bluegrass,Scribn.,4,y,,,,
Poa wallowensis,Wallowa bluegrass,Soreng,1,y,,,,
Pogogyne floribunda,Profuse-flowered pogogyne,Jokerst,2,y,,,,
Pogogyne serpylloides,Thymeleaf mesamint,(Torr.) Gray,2,y,,,,
Polanisia dodecandra ssp. trachysperma,Clammyweed,(L.) DC.,3,y,,,,
Polemonium viscosum,Skunk polemonium,Nutt.,4,y,,,,
Polygonum gabrielae,Gabriela's knotweed,Costea & Tardif,1,y,,,,
Polygonum polygaloides ssp. esotericum,Water knotweed,Meisn.,3,y,,,,
Polypodium calirhiza,Hotroot polypody,Whitmore,3,y,,,,
Polystichum californicum,California sword-fern,(D.C. Eat.) Diels,2,y,,,,
Polystichum kruckebergii,Kruckeberg's sword-fern,W.H. Wagner,4,y,,,,
Polystichum lemmonii,Shasta fern,Underwood,4,y,,,,
Potamogeton berchtoldii,Slender pondweed,Fieber,4,y,,,,
Potamogeton diversifolius,Rafinesque's pondweed,Raf.,2,y,,,,
Potamogeton fibrillosus,Fibrous pondweed,Fernald,2-ex,y,Potamogeton foliosus ssp. fibrillosus,n,"Leave as-is, ORBIC name matches ORFlora.",Potamogeton foliosus ssp. fibrillosus Calflora
Potamogeton praelongus,White-stem pondweed,Wulfen,2,y,,,,
Potamogeton robbinsii,Flatleaf pondweed,Oakes,2,y,,,,
Potentilla jepsonii,Jepson's cinquefoil,Ertter,3,y,,,,
Potentilla supina ssp. paradoxa,Bushy cinquefoil,L.,3,y,,,,
Potentilla versicolor var. darrachii,Darrach's cinquefoil,Rydberg,1,y,,,,
Potentilla villosa,Villous cinquefoil,Pallas ex Pursh,2,y,,,,
Prenanthella exigua,Desert prenanthella,(Gray) Rydb.,2,y,,,,
Primula cusickiana,Wallowa primrose,(Gray) Gray,2,y,,,,
Prosartes parvifolia,Siskiyou fairy bells,S. Wats.,1,y,,,,
Pseudognaphalium californicum,California cudweed,(DC.) A. Anderb.,2,y,,,,
Pseudognaphalium macounii,Winged cudweed,(Greene) Kartesz,3,y,,,,
Psilocarphus oregonus,Oregon woollyheads,Nutt.,3,y,,,,
Puccinellia nutkaensis,Pacific alkaligrass,(J. Presl) Fern. & Weatherby,2,y,,,,
Puccinellia pumila,Dwarf alkali grass,(Vasey) A.S. Hitchc.,2,y,,,,
Pyrrocoma linearis,One-flowered goldenweed,(Keck) Kartesz & Gandhi,4,y,,,,
Pyrrocoma racemosa var. paniculata,Panicled goldenweed,(Nutt.) Torr. & Gray,2,y,,,,
Pyrrocoma racemosa var. racemosa,Racemose pyrrocoma,(Nutt.) Torr. & Gray,2,y,,,,
Pyrrocoma radiata,Snake River goldenweed,Nutt.,1,y,,,,
Pyrrocoma scaberula,Rough pyrrocoma,Greene,1,y,,,,
Pyrrocoma sp.1,Goldenweed (undescribed species from Union County),,3,skip,,,"skip, potentially new species, still need conclusive DNA study. we may want to drop this until the ID is more certain.",
Quercus garryana var. semota,Jepson's Oregon white oak,Dougl. ex Hook.,3,y,,,,
Rafinesquia californica,California chicory,Nutt.,2,y,,,,
Ranunculus austro-oreganus,Southern Oregon buttercup,L.D. Benson,1,y,,,,
Ranunculus orthorhynchus var. bloomeri,Bloomer's buttercup,Hook.,3,y,,,,
Ranunculus triternatus,Dalles Mt. buttercup,Gray,1,y,,,,
Rhamnus ilicifolia,Redberry,Kellogg,2,y,,,,
Rhinanthus minor ssp. groenlandicus,Little yellow-rattle,L.,3,y,Rhinanthus groenlandicus,n,"keep ORBIC name as-is, though does not match ORFlora. Flora of PNW does recognize ssp. One native and one weedy in PNW.",Rhinanthus groenlandicus Chabert | Plants of the World Online | Kew Science
Rhodiola integrifolia ssp. integrifolia,Alpine sedum,Raf.,2,y,,,,
Rhynchospora alba,White beakrush,(L.) Vahl,2,y,,,,
Rhynchospora capitellata,Brownish beakrush,(Michx.) Vahl,2,y,,,,
Ribes acerifolium,Mapleleaf currant,T.J. Howell,3,y,,,,
Ribes cereum var. colubrinum,Wax currant,Dougl.,4,y,,,,
Ribes divaricatum var. pubiflorum,Straggly gooseberry,Dougl.,2,y,,,,
Ribes laxiflorum,Trailing black currant,Pursh,2,y,,,,
Ribes triste,Western red currant,Pallas,3,y,,,,
Ribes wolfii,Wolf currant,Rothrock,3,y,,,,
Romanzoffia suksdorfii,Suksdorf's mistmaiden,Greene,3,y,Romanzoffia californica,y,"ORBIC name changed, matches ORFlora",Romanzoffia suksdorfii Greene | Plants of the World Online | Kew Science
Romanzoffia thompsonii,Thompson mistmaiden,Marttala,1,y,,,,
Rorippa columbiae,Columbia cress,Suksdorf ex T.J. Howell,1,y,,,,
Rosa pisocarpa ssp. ahartii,Ahart's rose,Gray,3,y,,,,
Rotala ramosior,Toothcup,(L.) Koehne,2,y,,,,
Rubus bartonianus,Bartonberry,M.E. Peck,1,y,,,,
Rubus glaucifolius,Cuyamaca raspberry,Kellogg,3,y,,,,
Rudbeckia alpicola,Showy coneflower,Piper,3,y,,,,
Rumex persicarioides,Seashore dock,L.,3,y,,,,
Rumex salicifolius var. lacustris,Willow dock,Weinm.,3,y,Rumex lacustris,y,"ORBIC name changed, matches ORFlora",Rumex salicifolius var. lacustris (Greene) J.C.Hickman | Plants of the World Online | Kew Science
Sabulina austromontana,Southern mountain sandwort,(S.J. Wolf & Packer) Dillenb. & Kadereit,3,y,,,,
Sabulina californica,California sandwort,(A.Gray) Dillenb. & Kadereit,4,y,,,,
Sabulina pusilla,Dwarf stitchwort,(S. Watson) Dillenberger & Kadereit,3,y,,,,
Sagittaria montevidensis ssp. calycina,Long-lobe arrowhead,Cham. & Schlecht.,3,y,Sagittaria calycina,n,"Leave as-is, ORBIC name matches ORFlora.",Sagittaria calycina Engelm. | Plants of the World Online | Kew Science
Salicornia rubra,Red glasswort,A. Nels.,3,y,,,,
Salix brachycarpa,Short-fruit willow,Nutt.,4,y,,,,
Salix delnortensis,Del Norte willow,Schneid.,4,y,,,,
Salix drummondiana,Drummond's willow,Barratt ex Hook.,4,y,,,,
Salix farriae,Farr's willow,Ball,2,y,,,,
Salix glauca var. villosa,Shaggy leaf willow,L.,4,y,,,,
Salix laevigata,Polished willow,Bebb,2,y,,,,
Salix ligulifolia,Strapleaf willow,(Ball) Ball ex Schneid.,4,y,,,,
Salix nivalis,Snow willow,Hook.,2,y,,,,
Salix tracyi,Tracy willow,Ball,3,y,,,,
Salix wolfii,Wolf's willow,Bebb,2,y,,,,
Samolus parviflorus,Water-pimpernel,Raf.,3,y,,,,
Sanicula peckiana,Peck's sanicle,J.F. Macbr.,4,y,,,,
Saxifraga adscendens ssp. oregonensis,Wedge-leaf saxifrage,L.,2,y,,,,
Saxifraga hyperborea,Pygmy saxifrage,R. Br.,3,y,,,,
Saxifragopsis fragarioides,Strawberry saxifrage,(Greene) Small,2,y,,,,
Scheuchzeria palustris ssp. americana,Scheuchzeria,L.,2,y,Scheuchzeria palustris,"y, should review rank","ORBIC name changed, matches ORFlora",Scheuchzeria palustris L. | Plants of the World Online | Kew Science
Schoenoplectus heterochaetus,Slender bulrush,(Chase) Soják,2-ex,y,,,,
Schoenoplectus subterminalis,Water clubrush,(Torr.) Sojak,2,y,,,,
Scirpus pallidus,Pale bulrush,(Britt.) Fern.,2,y,,,,
Scirpus pendulus,Drooping bulrush,Muhl.,2,y,,,,
Sclerolinon digynum,Northwestern yellow flax,(Gray) Rogers,2,y,Linum digynum,n,"Leave as-is, ORBIC name matches ORFlora.",Sclerolinon digynum (A.Gray) C.M.Rogers | Plants of the World Online | Kew Science
Scoliopus bigelovii,California fetid adder's-tongue,Torr.,2,y,,,,
Scolochloa festucacea,Common rivergrass,(Willd.) Link,2,y,,,,
Sedella pumila,Sierra mock-stonecrop,(Benth.) Britt. & Rose,2,y,,,,
Sedum debile,Weak-stemmed stonecrop,S. Wats.,4,y,,,,
Sedum laxum ssp. heckneri,Heckner's stonecrop,(Britt.) Berger,4,y,,,,
Sedum moranii,Rogue River stonecrop,Clausen,1,y,,,,
Sedum oblanceolatum,Applegate stonecrop,Clausen,4,y,,,,
Sedum rupicola,Cascade stonecrop,G.N. Jones,2,y,,,,
Sedum spathulifolium ssp. purdyi,Purdy's stonecrop,Hook.,3,y,,,,
Selaginella watsonii,Watson's spike-moss,Underwood,4,y,,,,
Senecio ertterae,Ertter's senecio,T.M. Barkl.,1,y,,,,
Senecio sphaerocephalus,Mountain-marsh butterweed,Greene,3,y,,,,
Sericocarpus rigidus,White-topped aster,Lindl.,1,y,,,,
Sesuvium verrucosum,Verrucose sea-purslane,Raf.,2,y,,,,
Sidalcea campestris,Meadow checker-mallow,Greene,4,y,,,,
Sidalcea cusickii,Cusick's mallow,Piper,4,y,,,,
Sidalcea hendersonii,Henderson's sidalcea,S. Wats.,1,y,,,,
Sidalcea hickmanii ssp. petraea,Hickman's southern Oregon sidalcea,Greene,1,y,,,,
Sidalcea hirtipes,Bristly-stemmed sidalcea,C.L. Hitchc.,1,y,,,,
Sidalcea malachroides,Maple-leaved sidalcea,(Hook. & Arn.) Gray,2-ex,y,,,,
Sidalcea malviflora ssp. patula,Coast checker bloom,(DC.) Gray ex Benth.,1,y,,,,
Sidalcea nelsoniana,Nelson's sidalcea,Piper,1,y,,,,
Sidalcea neomexicana,Rocky Mountain sidalcea,Gray,3,y,,,,
Silene bolanderi,Bolander's catchfly,A. Gray,2,y,,,,
Silene bridgesii,Bridges' catchfly,Rohrb.,3,y,,,,
Silene douglasii var. oraria,Cascade Head catchfly,Hook.,1,y,,,,
Silene douglasii var. rupinae,Cliff-dwelling campion,Hook.,3,y,,,,
Silene hookeri ssp. serpentinicola,Serpentine catchfly,Nutt.,1,,Not in iNaturalist,n,"name accepted by ORFlora. do not add to iNat, they do not recoginze ssp.",
Silene lemmonii,Lemmon's catchfly,S. Wats.,4,y,,,,
Silene pectinata,Fringed campion,S. Watson,4,y,,,,
Silene spaldingii,Spalding's campion,S. Wats.,1,y,,,,
Silene suksdorfii,Suksdorf's campion,B.L. Robins.,4,y,,,,
Sisyrinchium halophilum,Nevada blue-eyed grass,Greene,2,y,,,,
Sisyrinchium hitchcockii,Hitchcock's blue-eyed grass,D. Henderson,1,y,,,,
Sisyrinchium sarmentosum,Pale blue-eyed grass,Suksdorf ex Greene,1,y,,,,
Smelowskia ovalis var. ovalis,Shortfruited smelowskia,M.E. Jones,4,y,,,,
Smilax californica,California smilax,(A. DC.) Gray,4,y,,,,
Solanum parishii,Parish's horse-nettle,Heller,2,y,,,,
Sophora leachiana,Western necklace,M.E. Peck,1,y,,,,
Sorbus californica,California mountain ash,Greene,3,y,,,,
Spartina pectinata,Prairie cordgrass,Link,2,y,Sporobolus michauxianus,n,name accepted by ORFlora,Spartina pectinata Bosc ex Link | Plants of the World Online | Kew Science
Sphaeromeria cana,Gray tansy,(D.C. Eat.) Heller,3,y,Artemisia albicans,n,name accepted by ORFlora,"Artemisia albicans Sòn.Garcia, Garnatje, McArthur, Pellicer, S.C.Sand | Plants of the World Online | Kew Science"
Sphenopholis obtusata,Prairie wedgegrass,(Michx.) Scribn.,2,y,,,,
Stanleya confertiflora,Biennial stanleya,(B.L. Robins.) T.J. Howell,1,y,,,,
Stanleya viridiflora,Perennial stanleya,Nutt.,3,y,,,,
Stellaria borealis ssp. borealis,Boreal starwort,Bigelow,3,y,Stellaria borealis,n,"keep ORBIC name as-is, matches ORFlora. OK to keep full specines in iNat project as S. borealis sitchensis is syn. S. sitchensis in iNaturalist taxonomy","Taxonomic Changes Taxon: Stellaria borealis (Active)"" · iNaturalist"
Stellaria humifusa,Creeping starwort,Rottb.,2,y,,,,
Stephanomeria malheurensis,Malheur wire-lettuce,Gottlieb,1,y,,,,
Streptanthus cordatus var. cordatus,Perennial twistflower,Nutt.,2,y,,,,
Streptanthus glandulosus ssp. josephinensis,Josephine jewel flower,Hook.,1,y,,,,
Streptanthus howellii,Howell's streptanthus,S. Wats.,1,y,,,,
Streptopus streptopoides,Small twisted-stalk,(Ledeb.) Frye & Rigg,2,y,,,,
Stuckenia filiformis ssp. alpina,Northern slender-leaved pondweed,(Pers) Boerner,2,y,,,,
Stuckenia filiformis ssp. occidentalis,Western slender-leaved pondweed,(Pers) Boerner,4,y,,,,
Stuckenia striata,Nevada pondweed,(Ruiz & Pavón) Holub,2,y,,,,
Stylocline psilocarphoides,Malheur stylocline,M.E. Peck,2-ex,y,,,,
Subularia aquatica var. americana,Awlwort,L.,3,y,,,,
Suksdorfia ranunculifolia,Buttercup-leaved suksdorfia,(Hook.) Engl.,3,y,,,,
Suksdorfia violacea,Violet suksdorfia,Gray,2,y,,,,
Sullivantia oregana,Oregon sullivantia,S. Wats.,1,y,,,,
Swertia perennis,Felwort,L.,2,y,,,,
Symphoricarpos longiflorus,Long-flowered snowberry,Gray,2,y,,,,
Symphyotrichum ericoides var. pansum,Tufted white prairie aster,(L.) Nesom,3,y,,,,
Synthyris missurica ssp. stellata,Columbia kittentails,(Raf.) Pennell,4,y,,,,
Taraxacum ceratophorum,Horned dandelion,(Ledeb.) DC.,3,y,,,,
Taraxia ovata,Golden eggs,(Nutt. ex Torr. & A. Gray) Small,2,y,,,,
Tauschia howellii,Howell's tauschia,(Coult. & Rose) J.F. Macbr.,1,y,,,,
Tauschia stricklandii,Strickland's tauschia,(Coult. & Rose) Mathias & Constance,2,y,,,,
Tetrapteron graciliflorum,Slender-flowered evening-primrose,(Hook. & Arn.) W.L. Wagner & Hoch,2,y,,,,
Tetrapteron palmeri,Palmer's evening-primrose,(S. Watson) W.L. Wagner & Hoch,3,y,,,,
Thalictrum alpinum,Alpine meadow-rue,L.,2,y,,,,
Thelypodium brachycarpum,Short-podded thelypody,Torr.,2,y,,,,
Thelypodium eucosmum,Arrow-leaf thelypody,B.L. Robins.,1,y,,,,
Thelypodium howellii ssp. howellii,Howell's thelypody,S. Wats.,1,y,,,,
Thelypodium howellii ssp. spectabilis,Howell's spectacular thelypody,S. Wats.,1,y,,,,
Thelypodium integrifolium ssp. complanatum,Entire-leaved thelypody,(Nutt.) Endl. ex Walp.,3,y,,,,
Thelypodium integrifolium ssp. integrifolium,Entire-leaved thelypody,(Nutt.) Endl. ex Walp.,3,y,,,,
Thelypodium sagittatum ssp. sagittatum,Slender thelypody,(Nutt. ex Torr. & Gray) Endl. ex Walp.,3,y,,,,
Thermopsis robusta,Showy golden-banner,Howell,1,y,,,,
Torreyochloa erecta,Narrow mannagrass,(A.S. Hitchc.) Church,4,y,,,,
Townsendia montana,Mountain townsendia,M.E. Jones,2,y,,,,
Townsendia parryi,Parry's townsendia,D.C. Eat.,2,y,,,,
Townsendia scapigera,Tufted Townsend daisy,D.C. Eat.,2,y,,,,
Toxicoscordion exaltatum,Giant death camas,(Eastw.) A. Heller,2,y,,,,
Trichophorum cespitosum,Tufted clubrush,(L.) Hartman,4,y,,,,
Trifolium douglasii,Douglas clover,House,1,y,,,,
Trifolium eriocephalum ssp. martinii,Martin's clover,Nutt.,3,,Not in iNaturalist,n,"many ssp. recognized in ORFlora incl this one. skip adding to iNat, this ssp. not recognized by CPNWH, incl in var. arcuatum",
Trifolium leibergii,Leiberg's clover,A. Nels. & J.F. Macbr.,1,y,,,,
Trifolium owyheense,Owyhee clover,Gilkey,1,y,,,,
Trifolium siskiyouense,Siskiyou clover,J. Gillett,3,y,,,,
Triglochin palustris,Slender bog arrowgrass,L.,2,y,,,,
Triglochin scilloides,Flowering quillwort,(Poir.) Mering & Kadereit,4,y,,,,
Triglochin striata,Three-ribbed arrow-grass,Ruiz & Pavon,3,y,,,,
Trillium albidum ssp. parviflorum,Small-flowered trillium,J.D. Freeman,1,y,,,,
Trillium kurabayashii,Giant purple trillium,J.D. Freeman,2,y,,,,
Triodanis biflora,Small Venus'-looking glass,(Ruiz & Pavon) Fisch. & C.A. Mey.,3,y,,,,
Triteleia crocea var. crocea,Yellow triteleia,(Wood) Greene,4,y,Triteleia crocea,y,"ORBIC name changed, matches ORFlora",https://www.inaturalist.org/taxon_changes?taxon_id=79450
Triteleia hendersonii var. leachiae,Leach's brodiaea,Greene,4,y,Triteleia hendersonii,needs review,"ssp. no longer recognized by ORFlora, CPNWH, or ODA. FNA states more study needed to determine if var. leachiae is valid. if we accept the name change, should drop this as too common",https://www.inaturalist.org/taxon_changes?taxon_id=79453
Triteleia ixioides,Prettyface,(Ait. f.) Greene,3,y,,,,
Triteleia laxa,Ithuriel's spear,Benth.,2,y,,,,
Trollius albiflorus,American globeflower,(Gray) Rydb.,2,y,,,,
Utricularia gibba,Humped bladderwort,L.,2,y,,,,
Utricularia minor,Lesser bladderwort,L.,2,y,,,,
Vaccinium oxycoccos,Wild bog cranberry,L.,4,y,,,,
Vancouveria chrysantha,Yellow vancouveria,Greene,4,y,,,,
Veronica schizantha,Fringed kittentail,(Piper) M. M. Martínez Ort. & Albach,1,y,,,,
Vicia hassei,Hass' vetch,S. Wats.,3,y,,,,
Viola langsdorfii,Aleutian viola,Fisch. ex Gingins,3,y,,,,
Viola praemorsa ssp. praemorsa,Upland yellow violet,Dougl. ex Lindl.,3,y,,,,
Viola primulifolia ssp. occidentalis,Western bog violet,L.,1,y,,,,
Viola purpurea ssp. dimorpha,Goosefoot violet,Kellogg,3,y,,,,
Wolffia borealis,Dotted water-meal,(Engelm. ex Hegelm.) Landolt ex Landolt & Wildi,2,y,,,,
Wolffia brasiliensis,Brazilian water meal,Weddell,3,y,,,,
Wolffia columbiana,Columbia water-meal,Karst.,2,y,,,,
Zizia aptera,Golden alexanders,(Gray) Fern.,2,y,,,,