ELEMENT_SUBNATIONAL_ID,ELCODE,Category,SNAME,SCOMNAME,LIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
6835,AFCHA0208F,Fish,Oncorhynchus clarkii pop. 2,Coastal cutthroat trout (Southwestern Washington/Columbia River ESU),1,Y,skip,,populations n/a on iNaturalist,
6834,AFCHA0208D,Fish,Oncorhynchus henshawi alvordensis,Alvord cutthroat trout,1-X,Y,y,,,
6831,AFCHA02081,Fish,Oncorhynchus henshawi henshawi,Lahontan cutthroat trout,2,Y,y,,,
6803,AFCHA02023,Fish,Oncorhynchus keta pop. 3,Chum salmon (Columbia River ESU),1,Y,y,,add at full species level,
6804,AFCHA02024,Fish,Oncorhynchus keta pop. 4,Chum salmon (Pacific Coast ESU),2,Y,skip,,populations n/a on iNaturalist,
6806,AFCHA02031,Fish,Oncorhynchus kisutch pop. 1,Coho salmon (Lower Columbia River ESU),1,Y,y,,add at full species level,
6807,AFCHA02032,Fish,Oncorhynchus kisutch pop. 2,Coho salmon (Southern Oregon/Northern California Coasts ESU),1,Y,skip,,populations n/a on iNaturalist,
6808,AFCHA02033,Fish,Oncorhynchus kisutch pop. 3,Coho salmon (Oregon Coast ESU),1,Y,skip,,populations n/a on iNaturalist,
6832,AFCHA02088,Fish,Oncorhynchus lewisi,Westslope cutthroat trout,2,Y,y,,,
6840,AFCHA02092,Fish,Oncorhynchus mykiss gairdneri,Inland Columbia Basin redband trout,2,Y,y,,,
6849,AFCHA0209M,Fish,Oncorhynchus mykiss pop. 13,Steelhead (Snake River Basin ESU),1,Y,skip,,populations n/a on iNaturalist,
6853,AFCHA0209S,Fish,Oncorhynchus mykiss pop. 18,Oregon Great Basin redband trout,1,Y,skip,,populations n/a on iNaturalist,
6854,AFCHA0209T,Fish,Oncorhynchus mykiss pop. 19,Klamath Basin redband trout,4,Y,skip,,populations n/a on iNaturalist,
6841,AFCHA02094,Fish,Oncorhynchus mykiss pop. 24,"Steelhead (Klamath Mountains Province ESU, summer run)",2,Y,skip,,populations n/a on iNaturalist,
6842,AFCHA02095,Fish,Oncorhynchus mykiss pop. 25,"Steelhead (Klamath Mountains Province ESU, winter run)",2,Y,skip,,populations n/a on iNaturalist,
6857,AFCHA02131,Fish,Oncorhynchus mykiss pop. 26,"Steelhead (Lower Columbia River ESU, summer run)",1,Y,skip,,populations n/a on iNaturalist,
6858,AFCHA02132,Fish,Oncorhynchus mykiss pop. 27,"Steelhead (Lower Columbia River ESU, winter run)",1,Y,skip,,populations n/a on iNaturalist,
6859,AFCHA02133,Fish,Oncorhynchus mykiss pop. 28,"Steelhead (Middle Columbia River ESU, summer run)",1,Y,skip,,populations n/a on iNaturalist,
6860,AFCHA02134,Fish,Oncorhynchus mykiss pop. 29,"Steelhead (Middle Columbia River ESU, winter run)",1,Y,skip,,populations n/a on iNaturalist,
6861,AFCHA02135,Fish,Oncorhynchus mykiss pop. 30,"Steelhead (Oregon Coast ESU, summer run)",1,Y,skip,,populations n/a on iNaturalist,
6862,AFCHA02136,Fish,Oncorhynchus mykiss pop. 31,"Steelhead (Oregon Coast ESU, winter run)",1,Y,skip,,populations n/a on iNaturalist,
6864,AFCHA02138,Fish,Oncorhynchus mykiss pop. 33,"Steelhead (Upper Willamette River ESU, winter run)",1,Y,skip,,populations n/a on iNaturalist,
6866,AFCHA0213A,Fish,Oncorhynchus mykiss pop. 35,"Steelhead (Southwest Washington ESU, winter run)",2,Y,skip,,populations n/a on iNaturalist,
6811,AFCHA02042,Fish,Oncorhynchus nerka pop. 1,Sockeye salmon (Snake River ESU),1-ex,Y,skip,,populations n/a on iNaturalist,
6825,AFCHA0205T,Fish,Oncorhynchus tshawytscha pop. 18,"Chinook salmon (Deschutes River ESU, summer/fall run)",1,Y,y,,add at full species,
6826,AFCHA0205U,Fish,Oncorhynchus tshawytscha pop. 19,"Chinook salmon (Middle Columbia River ESU, spring run)",4,Y,skip,,populations n/a on iNaturalist,
6817,AFCHA0205D,Fish,Oncorhynchus tshawytscha pop. 2,"Chinook salmon (Snake River ESU, fall run)",1,Y,skip,,populations n/a on iNaturalist,
6828,AFCHA0205W,Fish,Oncorhynchus tshawytscha pop. 21,"Chinook salmon (Lower Columbia River ESU, spring run)",1,Y,skip,,populations n/a on iNaturalist,
6829,AFCHA0205Y,Fish,Oncorhynchus tshawytscha pop. 22,"Chinook salmon (Lower Columbia River ESU, fall run)",1,Y,skip,,populations n/a on iNaturalist,
6813,AFCHA02052,Fish,Oncorhynchus tshawytscha pop. 23,"Chinook salmon (Upper Willamette River ESU, spring run)",1,Y,skip,,populations n/a on iNaturalist,
6815,AFCHA02054,Fish,Oncorhynchus tshawytscha pop. 25,"Chinook salmon (Southern Oregon/Northern California Coast ESU, spring run)",3,Y,skip,,populations n/a on iNaturalist,
6818,AFCHA0205E,Fish,Oncorhynchus tshawytscha pop. 26,"Chinook salmon (Southern Oregon/Northern California Coast ESU, fall run)",2,Y,skip,,populations n/a on iNaturalist,
6820,AFCHA0205J,Fish,Oncorhynchus tshawytscha pop. 27,"Chinook salmon (Oregon Coast ESU, spring run)",4,Y,skip,,populations n/a on iNaturalist,
6819,AFCHA0205H,Fish,Oncorhynchus tshawytscha pop. 8,"Chinook salmon (Snake River ESU, spring/summer run)",1,Y,skip,,populations n/a on iNaturalist,
6910,AFCJB56010,Fish,Oregonichthys crameri,Oregon chub,1,Y,y,,,
6911,AFCJB56020,Fish,Oregonichthys kalawatseti,Umpqua chub,1,Y,y,,,
6901,AFCJB37021,Fish,Rhinichthys cataractae ssp. 1,Millicoma dace,1,Y,skip,,undescribed ssp.,
6905,AFCJB3705C,Fish,Rhinichthys klamathensis pop. 1,Foskett Spring speckled dace,1,Y,skip,,populations n/a on iNaturalist,
6908,AFCJB39020,Fish,Richardsonius egregius,Lahontan redside,2,Y,y,,,
365465,AFCHA0502M,Fish,Salvelinus confluentus pop. 25,Bull trout (Upper Snake Recovery Unit),1,Y,y,,add at full species level,
365466,AFCHA0502N,Fish,Salvelinus confluentus pop. 26,Bull trout (Mid-Columbia Recovery Unit),2,Y,skip,,populations n/a on iNaturalist,
365467,AFCHA0502P,Fish,Salvelinus confluentus pop. 27,Bull trout (Klamath Recovery Unit),1,Y,skip,,populations n/a on iNaturalist,
365468,AFCHA0502Q,Fish,Salvelinus confluentus pop. 28,Bull trout (Coastal Recovery Unit),2,Y,skip,,populations n/a on iNaturalist,
443816,AFCFA10010,Fish,Sardinops sagax,Pacific sardine,1,Y,y,,,
436233,AFC4A06100,Fish,Sebastes caurinus,Copper rockfish,4,W,y,,,
436235,AFC4A06330,Fish,Sebastes maliger,Quillback rockfish,4,W,y,,,
436237,AFC4A06390,Fish,Sebastes miniatus,Vermillion rockfish,4,Y,y,,,
436238,AFC4A06410,Fish,Sebastes nebulosus,China rockfish,4,W,y,,,
436242,AFC4A06530,Fish,Sebastes ruberrimus,Yelloweye rockfish,2,Y,y,,,
6882,AFCJB13010,Fish,Siphateles alvordensis,Alvord chub,1,Y,y,,,
6886,AFCJB1303E,Fish,Siphateles bicolor eurysoma,Sheldon tui chub,1,Y,,,Not in iNaturalist. will need to look at individual S. bicolor observations to see if any match tracked subtaxa.,
6887,AFCJB1303G,Fish,Siphateles bicolor oregonensis,Oregon Lakes tui chub,1,Y,,,Not in iNaturalist,
6884,AFCJB13031,Fish,Siphateles bicolor ssp. 1,Hutton tui chub,1,Y,skip,,unpublished ssp.,
6888,AFCJB1303N,Fish,Siphateles bicolor ssp. 13,Summer Basin tui chub,1,Y,skip,,unpublished ssp.,
6890,AFCJB1303S,Fish,Siphateles bicolor ssp. 15,Warner Basin tui chub,1,Y,skip,,unpublished ssp.,
6885,AFCJB13032,Fish,Siphateles bicolor ssp. 2,Catlow tui chub,1,Y,skip,,unpublished ssp.,
6889,AFCJB1303Q,Fish,Siphateles bicolor thalassinus,Goose Lake tui chub,1,Y,,,Not in iNaturalist,
6891,AFCJB13040,Fish,Siphateles boraxobius,Borax Lake chub,1,Y,y,,,
443775,AFDEA07040,Fish,Squalus suckleyi,Pacific spiny dogfish,2,Y,y,,,
6877,AFCHB04010,Fish,Thaleichthys pacificus,Eulachon,2,Y,y,,,
402329,AMALC03020,Mammal,Alces alces,Moose,4,W,y,,,
7013,AMAFB04020,Mammal,Ammospermophilus leucurus,White-tailed antelope squirrel,3,Y,y,,,
6994,AMACC10010,Mammal,Antrozous pallidus,Pallid bat,2,Y,y,,,
7068,AMAFF23010,Mammal,Arborimus albipes,White-footed vole,4,W,y,,,
7069,AMAFF23020,Mammal,Arborimus longicaudus,Red tree vole,4,W,y,,,
420154,AMAFF23023,Mammal,Arborimus longicaudus pop. 1,Red tree vole North Oregon Coast DPS,1,Y,skip,,populations n/a on iNaturalist,
7109,AMAJE01010,Mammal,Bassariscus astutus,Ringtail,4,W,y,,,
7099,AMAJA01030,Mammal,Canis lupus,Gray wolf,2,Y,y,,,
6991,AMACC08010,Mammal,Corynorhinus townsendii,Townsend's big-eared bat,2,Y,y,,,
7122,AMAJF09010,Mammal,Enhydra lutris,Sea otter,2,Y,y,,,
7074,AMAFJ01010,Mammal,Erethizon dorsatum,Common porcupine,3,Y,y,,,
6990,AMACC07010,Mammal,Euderma maculatum,Spotted bat,2,Y,y,,,
7107,AMAJC03010,Mammal,Eumetopias jubatus,Northern sea lion,2,Y,y,,,
7117,AMAJF03010,Mammal,Gulo gulo,Wolverine,2,Y,y,,,
6985,AMACC02010,Mammal,Lasionycteris noctivagans,Silver-haired bat,4,W,y,,,
6988,AMACC05032,Mammal,Lasiurus cinereus,Hoary bat,3,Y,y,,,
7004,AMAEB03050,Mammal,Lepus californicus,Black-tailed jackrabbit,4,W,y,,,
7003,AMAEB03040,Mammal,Lepus townsendii,White-tailed jackrabbit,2,Y,y,,,
7127,AMAJH03010,Mammal,Lynx canadensis,Canada lynx,2,Y,y,,,
365575,AMAJF01017,Mammal,Martes caurina humboldtensis,Pacific Marten - Coastal Population,1,Y,y,,,
13969,AMAJF01015,Mammal,Martes caurina pop. 1,Pacific Marten - Interior Population,4,Y,y,Martes caurina caurina,,
6983,AMACC01120,Mammal,Myotis californicus,California myotis,4,W,y,,,
6984,AMACC01230,Mammal,Myotis ciliolabrum,Western small-footed myotis,4,W,y,,,
6979,AMACC01070,Mammal,Myotis evotis,Long-eared myotis,4,W,y,,,
6977,AMACC01010,Mammal,Myotis lucifugus,Little brown myotis,4,W,y,,,
6980,AMACC01090,Mammal,Myotis thysanodes,Fringed myotis,2,Y,y,,,
6982,AMACC01110,Mammal,Myotis volans,Long-legged myotis,4,W,y,,,
6978,AMACC01020,Mammal,Myotis yumanensis,Yuma myotis,4,W,y,,,
6998,AMAEA01030,Mammal,Ochotona princeps,American pika,4,Y,y,,,
7133,AMALC02022,Mammal,Odocoileus virginianus leucurus,Columbian white-tailed deer,1,Y,y,,,
7139,AMALE04016,Mammal,Ovis canadensis canadensis,Rocky Mountain bighorn sheep,2,Y,y,,,
7138,AMALE04013,Mammal,Ovis canadensis nelsoni,Desert bighorn sheep,2-ex,Y,y,,,
6986,AMACC03010,Mammal,Parastrellus hesperus,Canyon bat,4,W,y,,,
7112,AMAJF01020,Mammal,Pekania pennanti,Fisher,2,Y,y,,,
7024,AMAFB07020,Mammal,Sciurus griseus,Western gray squirrel,4,W,y,,,
6958,AMABA01030,Mammal,Sorex preblei,Preble's shrew,3,Y,y,,,
7005,AMAEB04010,Mammal,Sylvilagus idahoensis,Pygmy rabbit,2,Y,y,,,
6997,AMACD01010,Mammal,Tadarida brasiliensis,Brazilian free-tailed bat,4,W,y,,,
7030,AMAFC01021,Mammal,Thomomys bottae detumidus,Pistol River pocket gopher,1,Y,y,Megascapheus laticeps,"Several iNat taxon swaps, merges, and splits which all have an unknown source. Best I can find is the mammaldiversity.org entry for M. laticeps that claims Thomomys bottae detumidus is a synonym",https://www.mammaldiversity.org/taxon/1006917/
7037,AMAFC01090,Mammal,Thomomys bulbivorus,Camas pocket gopher,4,W,y,Megascapheus bulbivorus,Megascapheus a subgenus of Thomomys,"https://www.departments.bucknell.edu/biology/resources/msw3/browse.asp?id=12800295

Carraway, L. N., and P. K. Kennedy. 1994. Genetic variation in Thomomys bulbivorus, an endemic to the Willamette Valley, Oregon. Journal of Mammalogy, 74:952-962.

Bailey, V. E. 1915. Revision of the pocket gophers of the genus Thomomys. North American Fauna, 39:1-136."
7036,AMAFC01063,Mammal,Thomomys mazama helleri,Gold Beach pocket gopher,1,Y,y,,,
7020,AMAFB05191,Mammal,Urocitellus elegans nevadensis,Wyoming ground squirrel,2-ex,Y,y,,Common name used appears to be Nevada Ground Squirrel,
7014,AMAFB05020,Mammal,Urocitellus washingtoni,Washington ground squirrel,1,Y,y,,,
7104,AMAJB01020,Mammal,Ursus arctos,Grizzly bear,2-ex,Y,y,,"iNat uses Ursus arctos horribilis for Grizzly Bears, and Ursus arctos for Brown Bears. According to NatureServe, U. arctos horribilis is an invalid subspecies. I added Ursus arctos and am checking with Lindsey whether having it at the species level also pulls in subspecies",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102187/Ursus_arctos
7101,AMAJA03040,Mammal,Vulpes macrotis,Kit fox,2,Y,y,,,
429584,AMAJA03014,Mammal,Vulpes vulpes macroura,Rocky Mountain red fox,4,,y,,,
13066,AMAJA03012,Mammal,Vulpes vulpes necator,Sierra Nevada red fox,1,Y,y,,,
7146,ARAAD02031,Reptile,Actinemys marmorata,Western pond turtle,2,Y,y,,,
7145,ARAAD01010,Reptile,Chrysemys picta,Painted turtle,2,Y,y,,,
11430,ARADE02140,Reptile,Crotalus oreganus,Western rattlesnake,4,W,y,,,
365281,ARADB19110,Reptile,Lampropeltis californiae,California kingsnake,4,W,y,,,
7167,ARADB19060,Reptile,Lampropeltis zonata,California mountain kingsnake,4,W,y,,,
366210,ARADB29010,Reptile,Rhinocheilus lecontei,Long-nosed snake,2,Y,y,,,
7155,ARACF14032,Reptile,Sceloporus graciosus graciosus,Northern sagebrush lizard,4,W,y,,,
7170,ARADB32011,Reptile,Sonora semiannulata,Ground snake,4,W,y,,,