"ELCODE","GNAME","GCOMNAME","NAME_CATEGORY_ID","NAME_TYPE_CD","NAME_CATEGORY_DESC","G_RANK","ELEMENT_SUBNATIONAL_ID","SNAME","SCOMNAME","S_RANK","CLASSIFICATION_STATUS_DESC","EO_TRACK_STATUS_DESC","SUBNATION_NAME"
"NBMUS5D030","Physcomitrella readeri","Reader's Earth Moss","5.0","P","Nonvascular Plant","G3G5","419964.0","Physcomitrella readeri","Moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NFAGA1X031","Entocybe trachyospora var. vinacea","","6.0","P","Fungus","GNRTNR","420362.0","Entocybe trachyospora var. vinacea","Fungus","SNR","Nonstandard","Track all extant and selected historical EOs","Oregon"
"PDSCR1M051","Rhinanthus minor ssp. groenlandicus","Little Yellow-rattle","4.0","P","Vascular Plant","G5T5","419145.0","Rhinanthus minor ssp. groenlandicus","Little yellow-rattle","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS8Q010","Rosulabryum flaccidum","Small-fruit Thread Moss","5.0","P","Nonvascular Plant","GNR","419968.0","Rosulabryum flaccidum","Moss","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS9Y020","Pseudocalliergon angustifolium","Narrowleaf Spear Moss","5.0","P","Nonvascular Plant","GNR","419965.0","Pseudocalliergon angustifolium","Moss","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS2C0N0","Didymodon californicus","California Beard Moss","5.0","P","Nonvascular Plant","G3","419954.0","Didymodon californicus","California beard-moss","SNR","Provisional","Track all extant and selected historical EOs","Oregon"
"NBMUS30020","Didymodon bistratosus","a beard moss","5.0","P","Nonvascular Plant","GNR","419953.0","Didymodon bistratosus","Moss","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS6B060","Codriophorus fascicularis","Clustered Rock Moss","5.0","P","Nonvascular Plant","G5","419951.0","Codriophorus fascicularis","Moss","S2?","Standard","Track all extant and selected historical EOs","Oregon"
"NFBOL0B0S1","Rhizopogon villosulus var. 1","a fungus","6.0","P","Fungus","GNRTNR","420004.0","Rhizopogon colossus var. nigromaculatus","Fungus","SNR","Nonstandard","Track all extant and selected historical EOs","Oregon"
"NBMUS280N0","Dicranella subulata","Awl-leaf Forklet Moss","5.0","P","Nonvascular Plant","G5","419952.0","Dicranella subulata","Awl-leaved forklet moss","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS5T040","Polytrichastrum longisetum","Long-stalked Haircap Moss","5.0","P","Nonvascular Plant","G5","418249.0","Polytrichastrum longisetum","Long-stalked haircap moss","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PMPOA4Z212","Poa pratensis ssp. alpigena","Alpine Meadow Bluegrass","4.0","P","Vascular Plant","G5T5","366018.0","Poa pratensis ssp. alpigena","Alpine Kentucky bluegrass","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PMPOA150W0","Bromus maritimus","Seaside Brome","4.0","P","Vascular Plant","G4G5","365926.0","Bromus sitchensis var. maritimus","Maritime brome","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"NFAGA1X020","Entocybe nitida","a fungus","6.0","P","Fungus","GNR","365644.0","Entocybe nitida","Pine pinkgill","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS3V0C0","Hypnum lindbergii","Lindberg's Plait Moss","5.0","P","Nonvascular Plant","G5","365373.0","Hypnum lindbergii","Lindberg's plait moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS3S040","Hygrohypnum cochleariifolium","Ear-leaf Brook Moss","5.0","P","Nonvascular Plant","G4","365372.0","Hygrohypnum cochleariifolium","Moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NLT0042530","Chaenotheca balsamconensis","a stubble lichen","6.0","P","Fungus","G4G5","365381.0","Chaenotheca balsamconensis","Lichen","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS3V0F0","Hypnum pratense","Meadow Plait Moss","5.0","P","Nonvascular Plant","G5","365374.0","Hypnum pratense","Meadow plait moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDSCR0D4J0","Castilleja lutea","","4.0","P","Vascular Plant","GNR","365363.0","Castilleja lutea","Yellow paintbrush","S2?","Provisional","Track all extant and selected historical EOs","Oregon"
"NBMUS7Q110","Trichostomum tenuirostre var. tenuirostre","Narrow-fruit Crisp Moss","5.0","P","Nonvascular Plant","G5T5","12615.0","Trichostomum tenuirostre var. tenuirostre","Moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS1A210","Rosulabryum gemmascens","a moss","5.0","P","Nonvascular Plant","G3G5","13693.0","Rosulabryum gemmascens","Moss","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"NLT0017780","Cetrariella commixta","Intermingled Camouflage Lichen","6.0","P","Fungus","G5","13654.0","Melanelia commixta","Intermingled camouflage lichen","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDPGN084W2","Eriogonum crosbyae var. mystrium","Pueblo Mountains Buckwheat","4.0","P","Vascular Plant","G4T2T3","13644.0","Eriogonum crosbyae var. mystrium","Pueblo Mountains Buckwheat","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PDAST8S020","Sphaeromeria cana","Gray False Sagebrush","4.0","P","Vascular Plant","G3G4","365340.0","Sphaeromeria cana","Gray tansy","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PDHYD0C0E0","Phacelia bicolor","Two-color Scorpionweed","4.0","P","Vascular Plant","G4","365303.0","Phacelia bicolor var. bicolor","Two-color phacelia","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PDFAB400VA","Trifolium eriocephalum ssp. martinii","Martin's Clover","4.0","P","Vascular Plant","G5T2T4Q","365298.0","Trifolium eriocephalum ssp. martinii","Martin's clover","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PDCAR0X171","Stellaria borealis ssp. borealis","Boreal Starwort","4.0","P","Vascular Plant","G5T5","365295.0","Stellaria borealis ssp. borealis","Boreal starwort","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PMPOA2V0QH","Festuca rubra ssp. mediana","Dune Red Fescue","4.0","P","Vascular Plant","G5TNR","13879.0","Festuca rubra ssp. mediana","Median red fescue","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PMPOA5S090","Spartina pectinata","Fresh Water Cordgrass","4.0","P","Vascular Plant","G5","13849.0","Spartina pectinata","Prairie cordgrass","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PDBRA22093","Physaria geyeri ssp. geyeri","Geyer's Twinpod","4.0","P","Vascular Plant","G4TNR","12882.0","Physaria geyeri ssp. geyeri","Geyer's twinpod","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PMJUN011X0","Juncus mexicanus","Mexican Rush","4.0","P","Vascular Plant","G4G5","13840.0","Juncus mexicanus","Mexican rush","S2?","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS2G0D0","Ditrichum flexicaule","Flexible Cow-hair Moss","5.0","P","Nonvascular Plant","G5","13827.0","Ditrichum flexicaule","Flexible cow-hair moss","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS3S100","Hygrohypnum alpinum","Alpine Brook Moss","5.0","P","Nonvascular Plant","G4G5","12025.0","Hygrohypnum alpinum","Moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS7K061","Tortella tortuosa var. tortuosa","Frizzled Twisted Moss","5.0","P","Nonvascular Plant","G5T5","12983.0","Tortella tortuosa var. tortuosa","Frizzled twisted moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP03GP0","Carex tiogana","Tioga Pass Sedge","4.0","P","Vascular Plant","G1Q","12555.0","Carex tiogana","Tioga Pass sedge","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NLT0028030","Solorina spongiosa","Fringed Chocolate Chip Lichen","6.0","P","Fungus","G5","12456.0","Solorina spongiosa","Fringed chocolate chip lichen","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMLIL0Z021","Hastingsia bracteosa var. atropurpurea","Large-flower Rushlily","4.0","P","Vascular Plant","G2T2","9278.0","Hastingsia bracteosa var. atropurpurea","Purple flowered rush-lily","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PDLIN04010","Sclerolinon digynum","Northwestern Yellow-flax","4.0","P","Vascular Plant","G3G4","12091.0","Sclerolinon digynum","Northwestern yellow flax","S2?","Standard","Track all extant and selected historical EOs","Oregon"
"PDCHE042Y0","Atriplex gmelinii var. gmelinii","Gmelin's Saltbush","4.0","P","Vascular Plant","G5TNR","12083.0","Atriplex gmelinii var. gmelinii","Gmelin's saltbush","S1","Provisional","Track all extant and selected historical EOs","Oregon"
"PDPRI030DC","Primula pauciflora var. shoshonensis","Alkali-meadows Shootingstar","4.0","P","Vascular Plant","G5T3","11991.0","Dodecatheon pulchellum var. shoshonense","Darkthroat shootingstar","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PDCAR0U2B0","Silene serpentinicola","Serpentine Catchfly","4.0","P","Vascular Plant","G3","11981.0","Silene hookeri ssp. serpentinicola","Serpentine catchfly","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NFSM000007","Rhizopogon olivaceotinctus","a fungus","6.0","P","Fungus","G2G3","9780.0","Rhizopogon olivaceotinctus","Fungus","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMLIL0D0R2","Calochortus longebarbatus var. peckii","Peck's Mariposa Lily","4.0","P","Vascular Plant","G4T2T3","9244.0","Calochortus longebarbatus var. peckii","Peck's mariposa-lily","S2S3","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS2C0H0","Didymodon norrisii","Norris's Beard Moss","5.0","P","Nonvascular Plant","G4","10404.0","Didymodon norrisii","Norris' beard moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NFNHP00057","Omphalina isabellina","a fungus","6.0","P","Fungus","G1","10181.0","Omphalina isabellina","Fungus","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDAST4M062","Helianthella uniflora var. uniflora","Rocky Mountain Rockrose","4.0","P","Vascular Plant","G5T4T5","9566.0","Helianthella uniflora var. uniflora","Rocky Mountain helianthella","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0H040","Lipocarpha micrantha","Dwarf Bulrush","4.0","P","Vascular Plant","G5","9572.0","Lipocarpha micrantha","Small-flowered lipocarpha","S1?","Standard","Track all extant and selected historical EOs","Oregon"
"NLT0008082","Chromatochlamys muscorum var. octospora","a lichen","6.0","P","Fungus","G4G5T4T5","10294.0","Thelenella muscorum var. octospora","Lichen","S2","Standard","Track all extant and selected historical EOs","Oregon"
"NFNHP00029","Hebeloma occidentale","a fungus","6.0","P","Fungus","G1","10038.0","Hebeloma occidentale","Fungus","SH","Standard","Track all extant and selected historical EOs","Oregon"
"NFSM000075","Gautieria magnicellaris","a fungus","6.0","P","Fungus","G5?","9996.0","Gautieria magnicellaris","Fungus","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NFFUN85010","Destuntzia fusca","a fungus","6.0","P","Fungus","G2","9948.0","Destuntzia fusca","Fungus","SH","Standard","Track all extant and selected historical EOs","Oregon"
"NFNHP00084","Squamanita paradoxa","a fungus","6.0","P","Fungus","G4","10591.0","Squamanita paradoxa","Fungus","SH","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS5T090","Polytrichastrum sexangulare var. sexangulare","Northern Haircap Moss","5.0","P","Nonvascular Plant","G4G5T4T5","10455.0","Polytrichastrum sexangulare var. sexangulare","Northern haircap moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS5G020","Plagiobryum zieri","Zier's Hump Moss","5.0","P","Nonvascular Plant","G5","10420.0","Plagiobryum zieri","Plagiobryum moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMALI04041","Sagittaria montevidensis ssp. calycina","Long-lobe Arrowhead","4.0","P","Vascular Plant","G5T5?","9643.0","Sagittaria montevidensis ssp. calycina","Long-lobe arrowhead","S2?","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP035K0","Carex gynocrates","Northern Bog Sedge","4.0","P","Vascular Plant","G5","9128.0","Carex gynocrates","Yellow bog sedge","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMPOT030B1","Potamogeton foliosus ssp. fibrillosus","Fibrous Pondweed","4.0","P","Vascular Plant","G5T2T3Q","9349.0","Potamogeton fibrillosus","Fibrous pondweed","SH","Standard","Track all extant and selected historical EOs","Oregon"
"PMLIL0Z022","Hastingsia bracteosa var. bracteosa","Large-flower Rushlily","4.0","P","Vascular Plant","G2T2","9279.0","Hastingsia bracteosa var. bracteosa","Large-flowered rush-lily","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PMLIL0D0L0","Calochortus indecorus","Sexton Mountain Mariposa Lily","4.0","P","Vascular Plant","GX","9241.0","Calochortus indecorus","Sexton Mt. mariposa-lily","SX","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0H070","Lipocarpha occidentalis","Western Halfchaff Sedge","4.0","P","Vascular Plant","G5","9178.0","Lipocarpha occidentalis","Western halfchaff sedge","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0H060","Lipocarpha aristulata","Drummond's Hemicarpha","4.0","P","Vascular Plant","G4G5","9177.0","Lipocarpha aristulata","Aristulate lipocarpha","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0F010","Carex myosuroides","Pacific Kobresia","4.0","P","Vascular Plant","G5","9176.0","Kobresia myosuroides","Bellard's kobresia","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0F030","Carex simpliciuscula","Simple Kobresia","4.0","P","Vascular Plant","G5","9175.0","Kobresia simpliciuscula","Simple kobresia","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDFUM03046","Corydalis caseana ssp. aquae-gelidae","Cold-water Corydalis","4.0","P","Vascular Plant","G5T3","8652.0","Corydalis aquae-gelidae","Cold-water corydalis","S3","Standard","Track all extant and selected historical EOs","Oregon"
"PDFAB0F2W1","Astragalus diaphanus var. diurnus","South John Day Milkvetch","4.0","P","Vascular Plant","G4T2","8568.0","Astragalus diaphanus var. diurnus","South John Day milk-vetch","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PDRAN040H1","Anemone oregana var. felix","Bog Anemone","4.0","P","Vascular Plant","G4T3","8864.0","Anemone oregana var. felix","Bog anemone","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDPRI04030","Douglasia laevigata","Cliff Dwarf-primrose","4.0","P","Vascular Plant","G3","8858.0","Douglasia laevigata","Dwarf primrose","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PDPGN086F0","Eriogonum crosbyae var. crosbyae","Crosby's Buckwheat","4.0","P","Vascular Plant","G4T3","8799.0","Eriogonum crosbyae var. crosbyae","Crosby's buckwheat","S2","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS5T0D0","Polytrichastrum sexangulare var. vulcanicum","Northern Haircap Moss","5.0","P","Nonvascular Plant","G4G5T3T4","8126.0","Polytrichastrum sexangulare var. vulcanicum","Moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS2M030","Encalypta brevicolla","White-mouthed Extinguisher Moss","5.0","P","Nonvascular Plant","G5","8106.0","Encalypta brevicollis","Moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS1F0A0","Pseudocalliergon trifarium","Three-ranked Spear Moss","5.0","P","Nonvascular Plant","G5","8101.0","Pseudocalliergon trifarium","Three-ranked spear moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDBRA060Z1","Boechera koehleri var. 1","Koehler's Rockcress","4.0","P","Vascular Plant","G3T1Q","8421.0","Arabis koehleri var. koehleri","Koehler's rockcress","S1","Nonstandard","Track all extant and selected historical EOs","Oregon"
"PDAST3M1A1","Erigeron davisii","Davis' Fleabane","4.0","P","Vascular Plant","G2G3","8297.0","Erigeron davisii","Engelmann's daisy","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDAST0S0D5","Artemisia campestris var. wormskioldii","Northern Wormwood","4.0","P","Vascular Plant","G5T1","8250.0","Artemisia campestris var. wormskioldii","Northern wormwood","SX","Nonstandard","Track all extant and selected historical EOs","Oregon"
"PDAPI0U0V0","Vesper purpurascens","Purple Cymopterus","4.0","P","Vascular Plant","G4","8191.0","Cymopterus purpurascens","Purple cymopterus","S2","Standard","Track all extant and selected historical EOs","Oregon"
